,chembid,smiles_notation
47,CHEMBL61278,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(C(F)(F)F)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(C(F)(F)F)ccc21
48,CHEMBL545315,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl
49,CHEMBL1204360,COc1cc2ncnc(Nc3ccccc3F)c2cc1OC.Cl
50,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
51,CHEMBL21263,O=C(O)CNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O
52,CHEMBL281300,C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1
53,CHEMBL334032,COc1cc(C=C(C#N)C#N)cc(CS(=O)(=O)c2ccc(C)cc2)c1O
54,CHEMBL331026,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3[nH]2)c1O
55,CHEMBL289787,COc1cccc2c(Nc3cccc(Br)c3)ncnc12
56,CHEMBL309075,NCCNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1
57,CHEMBL341319,CN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1
58,CHEMBL173478,Nc1ncnc2c1c(-c1ccccc1)cn2-c1cccc(CO)c1
59,CHEMBL363815,C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1
60,CHEMBL539807,COc1cc2ncnc(N(C)c3cccc(C(F)(F)F)c3)c2cc1OC.Cl
61,CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
62,CHEMBL147761,Cc1c[nH]c(/C=C2\C(=O)Nc3cccc(C)c32)c1CCC(=O)O
63,CHEMBL384711,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(Br)c5)cc4)c3c2)o1
64,CHEMBL355857,CCOC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O
65,CHEMBL51659,C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
66,CHEMBL52784,CN(C)c1ccc2cncnc2c1
67,CHEMBL129825,CN(C)CCCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
68,CHEMBL306081,Cc1[nH]c2ncnc(Nc3cccc(Cl)c3)c2c1C
69,CHEMBL192737,COCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
70,CHEMBL193160,O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1
71,CHEMBL437879,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC
72,CHEMBL49120,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
73,CHEMBL332096,Nc1ccc2ncnc(NCc3ccccc3)c2c1
74,CHEMBL91811,CC(C)N(C)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
75,CHEMBL213616,COc1cc2c(cc1OC)Sc1nc(C)nc(Nc3ccc4[nH]cnc4c3)c1NC2
76,CHEMBL115895,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2NC(C)=O)c1O
77,CHEMBL190567,COCC(=O)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1
78,CHEMBL280069,COc1cc2cc(-c3ccncc3)cnc2cc1OC
79,CHEMBL258726,CC(C)(C)c1cc(C=C2C(=O)C=CC2=O)cc(C(C)(C)C)c1O
80,CHEMBL271190,COC[C@H]1OC(=O)/C(=C/N(CCO)C(C)(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C
81,CHEMBL453398,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(Oc5ccccn5)c(Cl)c4)c3s2)C1)N1CCOCC1
82,CHEMBL490555,c1cc(Nc2ncnc3[nH]ccc23)cc(-c2nc3ccccc3s2)c1
83,CHEMBL473761,COc1cc2nc(Nc3cc(C)[nH]n3)nc(Nc3ccc(-c4nc5ccccc5s4)cc3)c2cc1OC
84,CHEMBL514941,CNc1nc(Nc2ccc(-c3nc4ccccc4s3)cc2)c2cc(OC)c(OC)cc2n1
85,CHEMBL474347,Fc1cc(-c2nc3ccccc3s2)ccc1Nc1ncnc2ccsc12
